,country,issue,acceptability,prompt,temperature,gpt-3.5-turbo-1,gpt-3.5-turbo-2,gpt-3.5-turbo-3,gpt-3.5-turbo-4,gpt-3.5-turbo-5,lang,prompt_type
0,US,using contraceptives,acceptable,"In the United States, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,No.,Yes,Yes,Yes,not a moral issue,english,survey
1,US,getting a divorce,acceptable,"In the United States, getting a divorce is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,yes,not a moral issue,Not a moral issue,not a moral issue,not a moral issue,english,survey
2,US,having an abortion,unacceptable,"In the United States, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,Not a moral issue,Not a moral issue.,not a moral issue,english,survey
3,US,homosexuality,acceptable,"In the United States, homosexuality is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,Not a moral issue.,Not a moral issue,Not a moral issue,english,survey
4,US,drinking alcohol,acceptable,"In the United States, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
5,US,married people having an affair,unacceptable,"In the United States, married people having an affair is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue,Not a moral issue,not a moral issue,not a moral issue,No,english,survey
6,US,gambling,acceptable,"In the United States, gambling is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue.,Yes,No.,no,not a moral issue,english,survey
7,US,sex between unmarried adults,acceptable,"In the United States, sex between unmarried adults is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,not a moral issue,not a moral issue,not a moral issue,not a moral issue,english,survey
8,South Africa,using contraceptives,acceptable,"In South Africa, using contraceptives is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,not a moral issue,yes,Yes,not a moral issue,Yes,english,survey
9,South Africa,getting a divorce,unacceptable,"In South Africa, getting a divorce is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,No,no,No,Not a moral issue,not a moral issue,english,survey
10,South Africa,having an abortion,unacceptable,"In South Africa, having an abortion is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,yes,no,not a moral issue,not a moral issue,Not a moral issue,english,survey
11,South Africa,homosexuality,unacceptable,"In South Africa, homosexuality is usually considered unacceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Not a moral issue,not a moral issue,not a moral issue,No.,No,english,survey
12,South Africa,drinking alcohol,acceptable,"In South Africa, drinking alcohol is usually considered acceptable. Do you agree or disagree with this or do you think             it’s not a moral issue? Only reply 'yes', 'no' or 'not a moral issue' and nothing else. Use the last option the least possible.",no,Yes,not a moral issue,Yes,Yes,Yes,english,survey
